epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,7718.35,0.73318,0.51562,1.15674,0.66417,0.72081,0.69171,0.40541,1.95964,1.21942,3.49842,0.003268,0.003268,0.003268
70,7850.46,0.7193,0.51565,1.16502,0.66647,0.70224,0.6543,0.38147,1.993,1.25709,3.60725,0.003169,0.003169,0.003169
71,8009.24,0.6823,0.49154,1.13928,0.65976,0.68009,0.60111,0.35678,1.97281,1.45384,3.46845,0.00307,0.00307,0.00307
72,8148.12,0.66227,0.46785,1.11819,0.71395,0.67046,0.65701,0.38864,1.93042,1.19752,3.3815,0.002971,0.002971,0.002971
73,8286.24,0.68489,0.45553,1.13556,0.75295,0.71393,0.68904,0.40128,1.96889,1.17926,3.46359,0.002872,0.002872,0.002872
74,8432.84,0.66301,0.46864,1.13283,0.74414,0.74843,0.70531,0.39943,1.97968,1.28846,3.49112,0.002773,0.002773,0.002773
75,8562.84,0.66029,0.45867,1.11902,0.76256,0.68489,0.70717,0.38365,2.00569,1.1894,3.53486,0.002674,0.002674,0.002674
76,8711.01,0.64045,0.44007,1.11221,0.63353,0.66361,0.65405,0.36811,2.01025,1.39417,3.46026,0.002575,0.002575,0.002575
77,8870.45,0.64446,0.45708,1.10789,0.72342,0.71212,0.6769,0.37654,2.02867,1.31249,3.56884,0.002476,0.002476,0.002476
78,9010.32,0.64598,0.45288,1.11443,0.72027,0.78118,0.70621,0.41409,1.95892,1.20891,3.39896,0.002377,0.002377,0.002377
79,9137.06,0.62607,0.46004,1.08311,0.71756,0.72828,0.67445,0.39478,1.97086,1.2814,3.46861,0.002278,0.002278,0.002278
80,9267.52,0.66882,0.46463,1.12891,0.7071,0.71851,0.69292,0.40359,1.98805,1.29636,3.43008,0.002179,0.002179,0.002179
81,9418.81,0.60677,0.42323,1.08794,0.70449,0.74113,0.68987,0.40449,1.9472,1.29299,3.49718,0.00208,0.00208,0.00208
82,9618.18,0.59034,0.41716,1.06061,0.74353,0.75494,0.70184,0.41783,1.94954,1.22224,3.56229,0.001981,0.001981,0.001981
83,9766.24,0.5803,0.38253,1.05314,0.71489,0.73933,0.72229,0.42952,1.93522,1.25409,3.44932,0.001882,0.001882,0.001882
84,9917.01,0.58796,0.42072,1.06184,0.76951,0.73343,0.73782,0.44336,1.91981,1.25229,3.40717,0.001783,0.001783,0.001783
85,10070.9,0.55453,0.40773,1.03891,0.72213,0.69315,0.71009,0.42848,1.88224,1.2106,3.36203,0.001684,0.001684,0.001684
86,10244.8,0.55191,0.38404,1.05097,0.69313,0.71105,0.68523,0.40443,1.96935,1.24253,3.63645,0.001585,0.001585,0.001585
87,10401.8,0.57174,0.40068,1.05232,0.76324,0.64027,0.67903,0.40726,1.94865,1.20873,3.59241,0.001486,0.001486,0.001486
88,10552.2,0.55077,0.39674,1.04421,0.75383,0.65338,0.67487,0.40174,1.9795,1.28411,3.68182,0.001387,0.001387,0.001387
89,10695.1,0.56531,0.40394,1.04549,0.70518,0.75404,0.72094,0.41964,1.99849,1.16724,3.68595,0.001288,0.001288,0.001288
90,10830.2,0.52872,0.3827,1.04621,0.73071,0.76125,0.73297,0.42881,1.97123,1.1687,3.61389,0.001189,0.001189,0.001189
91,10987.3,0.42305,0.27456,0.97397,0.72804,0.76487,0.72049,0.42965,1.94391,1.21719,3.62075,0.00109,0.00109,0.00109
92,11157,0.39121,0.26691,0.93002,0.7676,0.72104,0.71719,0.42067,1.95678,1.23348,3.74258,0.000991,0.000991,0.000991
93,11301.3,0.39486,0.26743,0.94594,0.73341,0.74925,0.71937,0.42398,1.93826,1.2067,3.6501,0.000892,0.000892,0.000892
94,11486.2,0.38989,0.26132,0.94829,0.74427,0.80322,0.74509,0.43388,1.93364,1.21277,3.64396,0.000793,0.000793,0.000793
95,11647.2,0.38925,0.26409,0.94147,0.70653,0.76275,0.72076,0.42351,1.9357,1.28686,3.64423,0.000694,0.000694,0.000694
96,11804.1,0.35426,0.24494,0.91519,0.74351,0.75724,0.7321,0.42922,1.93317,1.28703,3.6587,0.000595,0.000595,0.000595
97,11986.3,0.36512,0.24691,0.91136,0.75709,0.7498,0.73298,0.43532,1.93076,1.28048,3.6806,0.000496,0.000496,0.000496
98,12146.4,0.36673,0.25002,0.91783,0.73143,0.75678,0.73615,0.44058,1.93273,1.24597,3.73803,0.000397,0.000397,0.000397
99,12308.1,0.37052,0.25131,0.93799,0.72107,0.77099,0.74085,0.43825,1.94463,1.22273,3.76706,0.000298,0.000298,0.000298
100,12458.6,0.35812,0.2445,0.91932,0.71528,0.77894,0.74169,0.44255,1.93471,1.21307,3.74679,0.000199,0.000199,0.000199
